datetime,pct,precip,precipcover,preciptype,snow,snowdepth
2017-02-02,0.8008264793547348,0.0,0.0,,0.0,0.3
2017-02-03,0.8216358487953974,0.0,0.0,,0.0,0.1
2017-02-04,0.8158117321031871,0.0,0.0,,0.0,0.1
2017-02-05,0.8184404052669525,0.0,0.0,,0.0,0.1
2017-02-06,0.7720964990347987,0.0,0.0,,0.0,0.0
2017-02-07,0.7644508936799426,0.43,58.33,"rain,snow",1.5,0.6
2017-03-03,0.8362970329646255,0.0,0.0,,0.0,0.0
2017-03-04,0.8612329467060638,0.0,0.0,,0.0,0.0
2017-03-05,0.8382714084716948,0.0,0.0,,0.0,0.0
2017-03-06,0.8335472933347193,0.0,0.0,,0.0,0.0
